Date,Action
2022-06-30,BUY
2022-07-08,SELL
2022-07-15,BUY
2022-07-22,BUY
2022-07-29,SELL
2022-08-05,SELL
2022-08-12,BUY
2022-08-19,BUY
2022-08-26,SELL
2022-09-02,SELL
2022-09-09,SELL
2022-09-19,BUY
2022-09-26,SELL
2022-10-03,SELL
2022-10-11,BUY
2022-10-18,SELL
2022-10-25,BUY
2022-11-01,BUY
2022-11-08,SELL
2022-11-15,BUY
2022-11-22,BUY
2022-11-29,SELL
2022-12-06,SELL
2022-12-13,SELL
2022-12-20,BUY
2022-12-29,SELL
2023-01-06,BUY
2023-01-13,BUY
2023-01-20,BUY
2023-02-01,SELL
2023-02-08,SELL
2023-02-15,SELL
2023-02-22,SELL
2023-03-01,BUY
2023-03-08,BUY
2023-03-15,SELL
2023-03-22,SELL
2023-03-29,SELL
2023-04-06,BUY
2023-04-17,BUY
